name,iata,icao,callsign,country
1Time Airline,1T,RNX,NEXTIME,South Africa
40-Mile Air,Q5,MLA,MILE-AIR,United States
Ansett Australia,AN,AAA,ANSETT,Australia
Aigle Azur,ZI,AAF,AIGLE AZUR,France
Aloha Airlines,AQ,AAH,ALOHA,United States
American Airlines,AA,AAL,AMERICAN,United States
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea
Askari Aviation,4K,AAS,AL-AAS,Pakistan
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya
Allegiant Air,G4,AAY,ALLEGIANT,United States
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil
Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya
Ada Air,ZY,ADE,ADA AIR,Albania
Adria Airways,JP,ADR,ADRIA,Slovenia
Air Europa,UX,AEA,EUROPA,Spain
Aero Benin,EM,AEB,AEROBEN,Benin
Aegean Airlines,A3,AEE,AEGEAN,Greece
Air Europe,PE,AEL,AIR EUROPE,Italy
Alaska Central Express,KO,AER,ACE AIR,United States
Astraeus,5W,AEU,FLYSTAR,United Kingdom
Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine
Air Italy,I9,AEY,AIR ITALY,Italy
Alliance Airlines,QQ,UTY,UNITY,Australia
Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia
Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina
Air France,AF,AFR,AIRFRANS,France
Air Caledonie International,SB,ACI,AIRCALIN,France
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States
Air Namibia,SW,NMB,NAMIBIA,Namibia
Aerolitoral,5D,SLI,COSTERA,Mexico
Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland
Aeroper,PL,PLI,Aeroperu,Peru
Atlas Blue,8A,BMM,ATLAS BLUE,Morocco
Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan
Avies,U3,AIA,AVIES,Estonia
Airblue,ED,ABQ,PAKBLUE,Pakistan
Air Berlin,AB,BER,AIR BERLIN,Germany
Air India Limited,AI,AIC,AIRINDIA,India
Air Bourbon,ZB,BUB,BOURBON,Reunion
Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France
Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel
Air Jamaica,JM,AJM,JAMAICA,Jamaica
Air One,AP,ADH,HERON,Italy
Air Sahara,S2,RSH,SAHARA,India
Air Malta,KM,AMC,AIR MALTA,Malta
Air Japan,NQ,AJX,AIR JAPAN,Japan
Air Kiribati,4A,AKL,,Kiribati
America West Airlines,HP,AWE,CACTUS,United States
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States
Tatarstan Airlines,U9,TAK,TATARSTAN,Russia
Air Malawi,QM,AML,MALAWI,Malawi
Air Macau,NX,AMU,AIR MACAO,Macao
Air Seychelles,HM,SEY,SEYCHELLES,Seychelles
AeroMéxico,AM,AMX,AEROMEXICO,Mexico
All Nippon Airways,NH,ANA,ALL NIPPON,Japan
Air Nostrum,YW,ANE,AIR NOSTRUM,Spain
Air Niugini,PX,ANG,NUIGINI,Papua New Guinea
Air Arabia,G9,ABY,ARABIA,United Arab Emirates
Air Canada,AC,ACA,AIR CANADA,Canada
Air Baltic,BT,BTI,AIRBALTIC,Latvia
Air Nippon,EL,ANK,ANK AIR,Japan
Airnorth,TL,ANO,TOPEND,Australia
Air North Charter - Canada,4N,ANT,AIR NORTH,Canada
Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
Alitalia Express,XM,SMX,ALIEXPRESS,Italy
Aero Flight,GV,ARF,Aero Fox,Germany
Arrow Air,JW,APW,BIG A,United States
Aerocondor,2B,ARD,AEROCONDOR,Portugal
Aires,4C,ARE, Aerovias de Integracion Regional, S.A.
Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina
Alaska Airlines,AS,ASA, Inc.,ALASKA
Air Sinai,4D,ASD,AIR SINAI,Egypt
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia
Air Tanzania,TC,ATC,TANZANIA,Tanzania
Air Burkina,2J,VBW,BURKINA,Burkina Faso
Airlines Of Tasmania,FO,ATM,AIRTAS,Australia
Air Saint Pierre,PJ,SPM,,France
Austrian Airlines,OS,AUA,AUSTRIAN,Austria
Augsburg Airways,IQ,AUB,AUGSBURG-AIR,Germany
Abu Dhabi Amiri Flight,MO,AUH,SULTAN,United Arab Emirates
Aeroflot-Nord,5N,AUL,DVINA,Russia
Aurigny Air Services,GR,AUR,AYLINE,United Kingdom
Austral Lineas Aereas,AU,AUT,AUSTRAL,Argentina
Avianca - Aerovias Nacionales de Colombia,AV,AVA, S.A.,AVIANCA
Air Vanuatu,NF,AVN,AIR VAN,Vanuatu
Air Bangladesh,B9,BGD,AIR BANGLA,Bangladesh
Air Mediterranee,DR,BIE,MEDITERRANEE,France
Aeroline GmbH,7E,AWU,SYLT-AIR,Germany
Air Wales,6G,AWW,RED DRAGON,United Kingdom
Air Caraïbes,TX,FWI,FRENCH WEST,France
Air India Express,IX,AXB,EXPRESS INDIA,India
Air Exel,XT,AXL,EXEL COMMUTER,Netherlands
AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
Atlant-Soyuz Airlines,3G,AYZ,ATLANT-SOYUZ,Russia
Alitalia,AZ,AZA,ALITALIA,Italy
Amaszonas,Z8,AZN,,Bolivia
Air Zimbabwe,UM,AZW,AIR ZIMBABWE,Zimbabwe
Aserca Airlines,R7,OCA,AROSCA,Venezuela
Rossiya-Russian Airlines,FV,SDM,PULKOVO,Russia
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States
Air Ivoire,VU,VUN,AIRIVOIRE,Ivory Coast
Air Botswana,BP,BOT,BOTSWANA,Botswana
Air Foyle,GS,UPA,FOYLE,United Kingdom
Air Tahiti,VT,VTA,AIR TAHITI,French Polynesia
Air VIA,VL,VIM,,Bulgaria
Africa West,FK,WTA,WEST TOGO,Togo
ATRAN Cargo Airlines,V8,VAS,ATRAN,Russian Federation
Air China,CA,CCA,AIR CHINA,China
Aero Condor Peru,Q6,CDP,CONDOR-PERU,Peru
Air Chathams,CV,CVA,CHATHAM,New Zealand
Air Marshall Islands,CW,CWM,AIR MARSHALLS,Marshall Islands
Access Air,ZA,CYD,CYCLONE,United States
Air Algerie,AH,DAH,AIR ALGERIE,Algeria
Adam Air,KI,DHI,ADAM SKY,Indonesia
Air Dolomiti,EN,DLA,DOLOMOTI,Italy
Aeroflot-Don,D9,DNV,DONAVIA,Russia
Air Madrid,NM,DRD,ALADA AIR,Spain
Aer Lingus,EI,EIN,SHAMROCK,Ireland
Air Finland,OF,FIF,AIR FINLAND,Finland
Air Pacific,FJ,FJI,PACIFIC,Fiji
Atlantic Airways,RC,FLI,FAROELINE,Faroe Islands
Air Florida,QH,FLZ,AIR FLORIDA,United States
Air Iceland,NY,FXI,FAXI,Iceland
